2019-05-01 12:43:18,349 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Pds2018-2019:EHPADDecision:0.0.1-SNAPSHOT @ D:\Divers\PdsIng1\Ehpaddecision\target\classes\pom.xml.
2019-05-01 12:43:21,771 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-05-01 12:43:21,771 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Divers\PdsIng1\Ehpaddecision\target\classes\src\main\resources
2019-05-01 12:43:22,168 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Pds2018-2019:EHPADDecision:0.0.1-SNAPSHOT @ D:\Divers\PdsIng1\Ehpaddecision\target\classes\pom.xml.
2019-05-01 12:43:22,169 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-05-01 12:43:22,170 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Divers\PdsIng1\Ehpaddecision\target\classes\src\test\resources
2019-05-01 12:43:27,916 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.esipe.pds.ehpaddecision:ehpaddecisionCl:0.0.1-SNAPSHOT @ D:\Divers\PdsIng1\Ehpaddecision\ehpaddecisionClientUI\pom.xml.
2019-05-01 12:43:27,918 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.esipe.pds.ehpaddecision:ehpaddecisionCl:0.0.1-SNAPSHOT @ D:\Divers\PdsIng1\Ehpaddecision\ehpaddecisionClientUI\pom.xml.
2019-05-01 12:43:28,794 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-01 12:43:28,831 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-05-01 12:43:28,840 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-01 12:43:28,847 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-05-01 12:43:29,264 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.esipe.pds.ehpaddecision:ehpaddecisionServ:0.0.1-SNAPSHOT @ D:\Divers\PdsIng1\Ehpaddecision\ehpaddecisionServ\pom.xml.
2019-05-01 12:43:29,650 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-01 12:43:29,664 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2019-05-01 12:43:29,667 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-01 12:43:29,679 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-01 12:43:30,129 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.esipe.pds.ehpaddecision:ehpaddecisionUmlandSQL:0.0.1-SNAPSHOT @ D:\Divers\PdsIng1\Ehpaddecision\ehpaddecisionUmlandSQL\pom.xml.
